EDRD_2012,vtd,name,ward,RegisteredVoters_2014_08,DEM_2014_08,REP_2014_08,STG_2014_08,LIB_2014_08,OTH_2014_08,NP_2014_08,TotPop_2010,PctPopUnder18Years_2010,PctBlackNonHispBridge_2010,PctWhiteNonHispBridge_2010,PctHisp_2010,PctAsianPINonHispBridge_2010,PctPoorPersons_2007_11,PctUnemployed_2007_11,Pct25andOverWoutHS_2007_11,AvgFamilyIncAdj_2007_11,PctOwnerOccupiedHsgUnits_2007_11,DemPrimary14_Shallal,DemPrimary14_Evans,DemPrimary14_Bowser,DemPrimary14_Wells,DemPrimary14_Gray,DemPrimary14_Orange,DemPrimary10_Fenty
06-27,vp271,,,,,,,,,,2138,,,,,,,,,,,,,,,,,
07-01,vp7,,,,,,,,,,1167,,,,,,,,,,,,,,,,,
07-02,vp21,,,,,,,,,,2157,,,,,,,,,,,,,,,,,
07-03,vp35,,,,,,,,,,3922,,,,,,,,,,,,,,,,,
07-04,vp45,,,,,,,,,,1880,,,,,,,,,,,,,,,,,
07-05,vp61,,,,,,,,,,1709,,,,,,,,,,,,,,,,,
07-06,vp71,,,,,,,,,,1361,,,,,,,,,,,,,,,,,
07-07,vp83,,,,,,,,,,1982,,,,,,,,,,,,,,,,,
07-08,vp93,,,,,,,,,,2382,,,,,,,,,,,,,,,,,
07-09,vp103,,,,,,,,,,942,,,,,,,,,,,,,,,,,
07-10,vp112,,,,,,,,,,2334,,,,,,,,,,,,,,,,,
07-11,vp122,,,,,,,,,,2482,,,,,,,,,,,,,,,,,
07-12,vp132,,,,,,,,,,1596,,,,,,,,,,,,,,,,,
07-13,vp146,,,,,,,,,,920,,,,,,,,,,,,,,,,,
07-15,vp160,,,,,,,,,,2235,,,,,,,,,,,,,,,,,
07-16,vp170,,,,,,,,,,1405,,,,,,,,,,,,,,,,,
07-17,vp180,,,,,,,,,,2265,,,,,,,,,,,,,,,,,
07-18,vp191,,,,,,,,,,1895,,,,,,,,,,,,,,,,,
07-19,vp201,,,,,,,,,,1471,,,,,,,,,,,,,,,,,
07-21,vp213,,,,,,,,,,299,,,,,,,,,,,,,,,,,
07-22,vp224,,,,,,,,,,3078,,,,,,,,,,,,,,,,,
07-23,vp236,,,,,,,,,,2714,,,,,,,,,,,,,,,,,
07-24,vp245,,,,,,,,,,2985,,,,,,,,,,,,,,,,,
07-25,vp255,,,,,,,,,,2514,,,,,,,,,,,,,,,,,
07-26,vp263,,,,,,,,,,2700,,,,,,,,,,,,,,,,,
07-27,vp272,,,,,,,,,,770,,,,,,,,,,,,,,,,,
08-01,vp8,,,,,,,,,,327,,,,,,,,,,,,,,,,,
08-02,vp22,,,,,,,,,,1733,,,,,,,,,,,,,,,,,
08-03,vp36,,,,,,,,,,1925,,,,,,,,,,,,,,,,,
08-04,vp46,,,,,,,,,,2650,,,,,,,,,,,,,,,,,
08-05,vp62,,,,,,,,,,2823,,,,,,,,,,,,,,,,,
08-06,vp72,,,,,,,,,,2661,,,,,,,,,,,,,,,,,
08-07,vp84,,,,,,,,,,1982,,,,,,,,,,,,,,,,,
08-08,vp94,,,,,,,,,,1454,,,,,,,,,,,,,,,,,
08-09,vp104,,,,,,,,,,2379,,,,,,,,,,,,,,,,,
08-10,vp113,,,,,,,,,,2650,,,,,,,,,,,,,,,,,
08-11,vp123,,,,,,,,,,1477,,,,,,,,,,,,,,,,,
08-12,vp133,,,,,,,,,,1981,,,,,,,,,,,,,,,,,
08-13,vp147,,,,,,,,,,3501,,,,,,,,,,,,,,,,,
08-15,vp161,,,,,,,,,,1507,,,,,,,,,,,,,,,,,
08-16,vp171,,,,,,,,,,2813,,,,,,,,,,,,,,,,,
08-17,vp181,,,,,,,,,,1271,,,,,,,,,,,,,,,,,
08-18,vp192,,,,,,,,,,1996,,,,,,,,,,,,,,,,,
08-19,vp202,,,,,,,,,,2327,,,,,,,,,,,,,,,,,
08-21,vp214,,,,,,,,,,2789,,,,,,,,,,,,,,,,,
08-22,vp225,,,,,,,,,,1834,,,,,,,,,,,,,,,,,
08-23,vp237,,,,,,,,,,4656,,,,,,,,,,,,,,,,,
08-24,vp246,,,,,,,,,,2364,,,,,,,,,,,,,,,,,
08-25,vp256,,,,,,,,,,990,,,,,,,,,,,,,,,,,
08-26,vp264,,,,,,,,,,694,,,,,,,,,,,,,,,,,
08-27,vp273,,,,,,,,,,2445,,,,,,,,,,,,,,,,,
09-01,vp9,,,,,,,,,,1515,,,,,,,,,,,,,,,,,
09-02,vp23,,,,,,,,,,1210,,,,,,,,,,,,,,,,,
09-03,vp37,,,,,,,,,,3204,,,,,,,,,,,,,,,,,
09-04,vp47,,,,,,,,,,1117,,,,,,,,,,,,,,,,,
09-05,vp63,,,,,,,,,,2209,,,,,,,,,,,,,,,,,
09-06,vp73,,,,,,,,,,2498,,,,,,,,,,,,,,,,,
09-07,vp85,,,,,,,,,,2164,,,,,,,,,,,,,,,,,
09-08,vp95,,,,,,,,,,485,,,,,,,,,,,,,,,,,
09-09,vp105,,,,,,,,,,4463,,,,,,,,,,,,,,,,,
09-10,vp114,,,,,,,,,,1824,,,,,,,,,,,,,,,,,
09-11,vp124,,,,,,,,,,1515,,,,,,,,,,,,,,,,,
09-12,vp134,,,,,,,,,,1842,,,,,,,,,,,,,,,,,
09-13,vp148,,,,,,,,,,2630,,,,,,,,,,,,,,,,,
09-15,vp162,,,,,,,,,,969,,,,,,,,,,,,,,,,,
09-16,vp172,,,,,,,,,,498,,,,,,,,,,,,,,,,,
09-17,vp182,,,,,,,,,,1537,,,,,,,,,,,,,,,,,
09-18,vp193,,,,,,,,,,1728,,,,,,,,,,,,,,,,,
09-19,vp203,,,,,,,,,,2245,,,,,,,,,,,,,,,,,
09-21,vp215,,,,,,,,,,414,,,,,,,,,,,,,,,,,
09-22,vp226,,,,,,,,,,1484,,,,,,,,,,,,,,,,,
09-23,vp238,,,,,,,,,,687,,,,,,,,,,,,,,,,,
09-24,vp247,,,,,,,,,,1525,,,,,,,,,,,,,,,,,
09-26,vp265,,,,,,,,,,5096,,,,,,,,,,,,,,,,,
09-27,vp274,,,,,,,,,,2471,,,,,,,,,,,,,,,,,
10-01,vp10,,,,,,,,,,2601,,,,,,,,,,,,,,,,,
10-02,vp24,,,,,,,,,,1634,,,,,,,,,,,,,,,,,
10-03,vp38,,,,,,,,,,672,,,,,,,,,,,,,,,,,
10-04,vp48,,,,,,,,,,413,,,,,,,,,,,,,,,,,
10-05,vp64,,,,,,,,,,2541,,,,,,,,,,,,,,,,,
10-06,vp74,,,,,,,,,,2028,,,,,,,,,,,,,,,,,
10-07,vp86,,,,,,,,,,3283,,,,,,,,,,,,,,,,,
10-08,vp96,,,,,,,,,,2721,,,,,,,,,,,,,,,,,
10-10,vp115,,,,,,,,,,2062,,,,,,,,,,,,,,,,,
10-11,vp125,,,,,,,,,,1668,,,,,,,,,,,,,,,,,
10-12,vp135,,,,,,,,,,2127,,,,,,,,,,,,,,,,,
10-13,vp149,,,,,,,,,,1082,,,,,,,,,,,,,,,,,
10-15,vp163,,,,,,,,,,3513,,,,,,,,,,,,,,,,,
10-16,vp173,,,,,,,,,,2296,,,,,,,,,,,,,,,,,
10-17,vp183,,,,,,,,,,2385,,,,,,,,,,,,,,,,,
10-18,vp194,,,,,,,,,,1451,,,,,,,,,,,,,,,,,
10-19,vp204,,,,,,,,,,1402,,,,,,,,,,,,,,,,,
10-21,vp216,,,,,,,,,,2666,,,,,,,,,,,,,,,,,
10-22,vp227,,,,,,,,,,1709,,,,,,,,,,,,,,,,,
10-24,vp248,,,,,,,,,,2567,,,,,,,,,,,,,,,,,
10-27,vp275,,,,,,,,,,2701,,,,,,,,,,,,,,,,,
11-01,vp11,,,,,,,,,,1187,,,,,,,,,,,,,,,,,
11-02,vp25,,,,,,,,,,2307,,,,,,,,,,,,,,,,,
11-04,vp49,,,,,,,,,,2108,,,,,,,,,,,,,,,,,
11-06,vp75,,,,,,,,,,1525,,,,,,,,,,,,,,,,,
11-12,vp136,,,,,,,,,,1671,,,,,,,,,,,,,,,,,
11-13,vp150,,,,,,,,,,870,,,,,,,,,,,,,,,,,
11-17,vp184,,,,,,,,,,2879,,,,,,,,,,,,,,,,,
11-19,vp205,,,,,,,,,,566,,,,,,,,,,,,,,,,,
11-21,vp217,,,,,,,,,,2814,,,,,,,,,,,,,,,,,
11-22,vp228,,,,,,,,,,2594,,,,,,,,,,,,,,,,,
12-01,vp12,,,,,,,,,,749,,,,,,,,,,,,,,,,,
12-02,vp26,,,,,,,,,,3275,,,,,,,,,,,,,,,,,
12-04,vp50,,,,,,,,,,1888,,,,,,,,,,,,,,,,,
12-06,vp76,,,,,,,,,,2096,,,,,,,,,,,,,,,,,
12-12,vp137,,,,,,,,,,1855,,,,,,,,,,,,,,,,,
12-13,vp151,,,,,,,,,,14,,,,,,,,,,,,,,,,,
12-19,vp206,,,,,,,,,,2276,,,,,,,,,,,,,,,,,
12-22,vp229,,,,,,,,,,1262,,,,,,,,,,,,,,,,,
13-01,vp13,,,,,,,,,,1115,,,,,,,,,,,,,,,,,
13-02,vp27,,,,,,,,,,0,,,,,,,,,,,,,,,,,
13-04,vp51,,,,,,,,,,374,,,,,,,,,,,,,,,,,
13-12,vp138,,,,,,,,,,1348,,,,,,,,,,,,,,,,,
13-13,vp152,,,,,,,,,,247,,,,,,,,,,,,,,,,,
14-01,vp14,,,,,,,,,,1091,,,,,,,,,,,,,,,,,
14-04,vp52,,,,,,,,,,382,,,,,,,,,,,,,,,,,
14-12,vp139,,,,,,,,,,1154,,,,,,,,,,,,,,,,,
14-13,vp153,,,,,,,,,,0,,,,,,,,,,,,,,,,,
15-04,vp53,,,,,,,,,,718,,,,,,,,,,,,,,,,,
16-04,vp54,,,,,,,,,,230,,,,,,,,,,,,,,,,,
17-02,vp28,,,,,,,,,,,,,,,,,,,,,,,,,,,
